stateId,runId,composition,structure,fct,unique.str,unique.id,puniuqe.id,n
480,1,abal fasy ,4,0,abal fasy  4 0,480,448,21
481,1,abal lade ,6,1,abal lade  6 1,481,449,70
483,1,piab abal lade fasy ,6,1,piab abal lade fasy  6 1,483,450,45
488,1,FASY lade ,6,0,FASY lade  6 0,488,451,39
489,1,piab abal ,6,1,piab abal  6 1,489,452,129
490,1,piab abal lade ,6,1,piab abal lade  6 1,490,453,52
492,1,LADE piab ,6,2,LADE piab  6 2,492,454,30
493,1,piab acps ,7,0,piab acps  7 0,493,455,70
494,1,PIAB acps ,7,0,PIAB acps  7 0,494,456,23
495,1,abal lade ,7,1,abal lade  7 1,495,457,168
496,1,piab lade pisy fasy ,7,1,piab lade pisy fasy  7 1,496,458,43
497,1,BEPE piab ,4,0,BEPE piab  4 0,497,459,6
498,1,lade fasy bepe ,5,0,lade fasy bepe  5 0,498,460,25
499,1,lade bepe ,5,0,lade bepe  5 0,499,461,43
501,1,fasy alin ,5,0,fasy alin  5 0,501,462,13
502,1,LADE frex ,3,0,LADE frex  3 0,502,463,24
503,1,piab abal lade fasy ,7,1,piab abal lade fasy  7 1,503,464,149
504,1,lade pisy ,9,1,lade pisy  9 1,504,465,266
505,1,lade bepe ,4,0,lade bepe  4 0,505,466,21
506,1,FASY abal ,8,1,FASY abal  8 1,506,467,372
507,1,PIAB fasy ,4,0,PIAB fasy  4 0,507,468,40
508,1,piab abal lade fasy ,8,1,piab abal lade fasy  8 1,508,469,87
509,1,piab lade fasy ,8,0,piab lade fasy  8 0,509,470,422
510,1,PIAB lade ,9,2,PIAB lade  9 2,510,471,4760
511,1,LADE fasy ,9,0,LADE fasy  9 0,511,472,30
512,1,FASY ,5,2,FASY  5 2,512,473,45918
513,1,piab pisy fasy ,8,0,piab pisy fasy  8 0,513,474,28
515,1,piab abal fasy ,7,2,piab abal fasy  7 2,515,475,559
517,1,piab lade frex ,6,0,piab lade frex  6 0,517,476,34
518,1,FASY piab ,10,0,FASY piab  10 0,518,477,19
519,1,fasy ,9,0,fasy  9 0,519,478,233
520,1,piab abal pisy ,7,1,piab abal pisy  7 1,520,479,18
521,1,lade frex ,9,0,lade frex  9 0,521,480,106
523,1,PISY fasy ,8,1,PISY fasy  8 1,523,481,160
524,1,FASY frex ,3,0,FASY frex  3 0,524,482,19
527,1,LADE ,7,2,LADE  7 2,527,483,108
528,1,LADE ,9,1,LADE  9 1,528,484,1420
529,1,piab lade fasy ,5,0,piab lade fasy  5 0,529,485,18
530,1,frex bepe ,1,0,frex bepe  1 0,530,486,126
531,1,mix,3,0,mix 3 0,531,487,36
532,1,fasy acps ,8,0,fasy acps  8 0,532,488,32
533,1,piab abal fasy ,7,0,piab abal fasy  7 0,533,489,34
535,1,piab lade ,4,1,piab lade  4 1,535,490,35
536,1,FASY frex ,1,0,FASY frex  1 0,536,491,26
537,1,PIAB pisy ,9,2,PIAB pisy  9 2,537,492,1137
538,1,lade fasy acps ,9,1,lade fasy acps  9 1,538,493,35
540,1,piab pisy ,8,2,piab pisy  8 2,540,494,4504
541,1,piab fasy frex ,7,1,piab fasy frex  7 1,541,495,302
543,1,FREX ,4,1,FREX  4 1,543,496,366
544,1,PIAB ,2,0,PIAB  2 0,544,497,664
546,1,FASY acps ,8,1,FASY acps  8 1,546,498,169
547,1,frex bepe ,2,0,frex bepe  2 0,547,499,100
549,1,PIAB frex ,8,1,PIAB frex  8 1,549,500,174
550,1,fasy frex ,5,0,fasy frex  5 0,550,501,140
551,1,fasy acps ,6,2,fasy acps  6 2,551,502,50
552,1,LADE piab ,2,0,LADE piab  2 0,552,503,18
554,1,piab fasy frex ,7,0,piab fasy frex  7 0,554,504,102
555,1,BEPE ,8,0,BEPE  8 0,555,505,40
559,1,acps frex ,5,1,acps frex  5 1,559,506,17
560,1,FASY frex ,8,1,FASY frex  8 1,560,507,180
561,1,LADE ,1,0,LADE  1 0,561,508,371
562,1,LADE ,2,0,LADE  2 0,562,509,137
563,1,fasy ,10,2,fasy  10 2,563,510,8995
564,1,FASY ,3,0,FASY  3 0,564,511,90
565,1,piab bepe ,5,0,piab bepe  5 0,565,512,87
566,1,piab fasy acps ,5,0,piab fasy acps  5 0,566,513,17
567,1,piab bepe ,1,0,piab bepe  1 0,567,514,22
568,1,lade fasy ,3,0,lade fasy  3 0,568,515,38
569,1,fasy bepe ,7,0,fasy bepe  7 0,569,516,76
572,1,FREX ,5,0,FREX  5 0,572,517,437
573,1,LADE frex ,7,0,LADE frex  7 0,573,518,49
574,1,lade ,5,0,lade  5 0,574,519,25
576,1,lade bepe ,7,0,lade bepe  7 0,576,520,127
577,1,FASY piab ,10,1,FASY piab  10 1,577,521,1624
578,1,FASY lade ,9,0,FASY lade  9 0,578,522,44
579,1,lade bepe ,3,0,lade bepe  3 0,579,523,28
581,1,ALIN ,3,0,ALIN  3 0,581,524,29
582,1,lade ,8,0,lade  8 0,582,525,190
584,1,fasy acps ,10,1,fasy acps  10 1,584,526,440
585,1,BEPE frex ,2,0,BEPE frex  2 0,585,527,32
587,1,fasy alin ,6,1,fasy alin  6 1,587,528,17
588,1,piab bepe ,4,0,piab bepe  4 0,588,529,91
589,1,piab acps ,8,1,piab acps  8 1,589,530,88
590,1,fasy frex alin ,6,0,fasy frex alin  6 0,590,531,32
591,1,FASY acps ,9,1,FASY acps  9 1,591,532,71
593,1,fasy acps ,9,0,fasy acps  9 0,593,533,18
594,1,piab lade ,5,0,piab lade  5 0,594,534,239
596,1,FASY acps ,10,1,FASY acps  10 1,596,535,102
597,1,piab fasy acps ,9,1,piab fasy acps  9 1,597,536,158
598,1,FASY acps ,7,0,FASY acps  7 0,598,537,55
599,1,piab ,11,1,piab  11 1,599,538,152
603,1,PIAB fasy ,4,1,PIAB fasy  4 1,603,539,337
605,1,piab abal fasy ,8,0,piab abal fasy  8 0,605,540,54
607,1,fasy frex alin ,7,0,fasy frex alin  7 0,607,541,12
608,1,PIAB fasy ,1,0,PIAB fasy  1 0,608,542,45
609,1,piab lade fasy ,9,0,piab lade fasy  9 0,609,543,240
610,1,lade frex ,7,0,lade frex  7 0,610,544,141
611,1,FASY frex ,7,1,FASY frex  7 1,611,545,195
612,1,piab abal ,10,2,piab abal  10 2,612,546,1241
613,1,FASY ,2,0,FASY  2 0,613,547,47
614,1,piab abal fasy ,10,2,piab abal fasy  10 2,614,548,5132
616,1,FASY ,3,1,FASY  3 1,616,549,224
617,1,piab fasy acps ,7,0,piab fasy acps  7 0,617,550,40
618,1,piab frex ,9,0,piab frex  9 0,618,551,235
619,1,lade frex ,4,0,lade frex  4 0,619,552,114
620,1,piab lade frex ,1,0,piab lade frex  1 0,620,553,35
621,1,lade fasy frex ,9,0,lade fasy frex  9 0,621,554,41
622,1,lade frex ,1,0,lade frex  1 0,622,555,137
623,1,piab ,1,0,piab  1 0,623,556,41
624,1,FREX bepe ,1,0,FREX bepe  1 0,624,557,49
626,1,piab ,5,0,piab  5 0,626,558,159
627,1,frex alin ,3,0,frex alin  3 0,627,559,37
628,1,lade frex ,8,0,lade frex  8 0,628,560,120
629,1,FASY frex ,5,0,FASY frex  5 0,629,561,50
630,1,FASY lade ,9,2,FASY lade  9 2,630,562,569
631,1,BEPE ,7,0,BEPE  7 0,631,563,96
633,1,FREX ,8,0,FREX  8 0,633,564,59
634,1,fasy alin ,6,0,fasy alin  6 0,634,565,22
635,1,FASY piab ,8,0,FASY piab  8 0,635,566,274
636,1,fasy frex ,5,1,fasy frex  5 1,636,567,162
637,1,FASY piab ,5,0,FASY piab  5 0,637,568,51
638,1,BEPE frex ,1,0,BEPE frex  1 0,638,569,48
640,1,piab fasy ,1,0,piab fasy  1 0,640,570,61
641,1,piab fasy ,11,1,piab fasy  11 1,641,571,2420
642,1,FASY acps ,6,0,FASY acps  6 0,642,572,97
644,1,acps ,9,1,acps  9 1,644,573,27
646,1,PIAB pisy ,7,2,PIAB pisy  7 2,646,574,67
647,1,FREX lade ,1,0,FREX lade  1 0,647,575,87
648,1,PIAB lade ,7,0,PIAB lade  7 0,648,576,129
649,1,piab fasy frex ,1,0,piab fasy frex  1 0,649,577,19
650,1,LADE fasy ,7,1,LADE fasy  7 1,650,578,81
652,1,PIAB bepe ,6,1,PIAB bepe  6 1,652,579,39
653,1,piab fasy ,10,0,piab fasy  10 0,653,580,283
654,1,fasy frex ,10,1,fasy frex  10 1,654,581,84
656,1,piab fasy frex ,11,1,piab fasy frex  11 1,656,582,158
658,1,lade pisy ,7,2,lade pisy  7 2,658,583,144
660,1,lade fasy acps ,6,1,lade fasy acps  6 1,660,584,35
661,1,piab pisy fasy ,8,2,piab pisy fasy  8 2,661,585,5330
662,1,lade fasy ,1,0,lade fasy  1 0,662,586,23
663,1,piab fasy frex ,5,0,piab fasy frex  5 0,663,587,61
664,1,ACPS ,7,1,ACPS  7 1,664,588,84
666,1,lade fasy frex ,7,0,lade fasy frex  7 0,666,589,45
667,1,FREX ,6,0,FREX  6 0,667,590,250
668,1,lade fasy frex ,7,1,lade fasy frex  7 1,668,591,186
669,1,lade fasy frex ,8,1,lade fasy frex  8 1,669,592,338
670,1,ACPS ,8,1,ACPS  8 1,670,593,23
671,1,FASY frex ,9,1,FASY frex  9 1,671,594,41
672,1,PIAB frex ,6,1,PIAB frex  6 1,672,595,82
675,1,ACPS alin ,6,0,ACPS alin  6 0,675,596,12
676,1,PISY ,7,2,PISY  7 2,676,597,307
677,1,lade fasy acps ,8,2,lade fasy acps  8 2,677,598,16
679,1,FASY lade ,8,2,FASY lade  8 2,679,599,431
680,1,lade ,9,0,lade  9 0,680,600,44
682,1,fasy frex ,2,0,fasy frex  2 0,682,601,81
683,1,piab lade ,10,0,piab lade  10 0,683,602,44
684,1,FREX piab ,1,0,FREX piab  1 0,684,603,40
685,1,fasy bepe ,6,0,fasy bepe  6 0,685,604,35
686,1,lade frex ,5,0,lade frex  5 0,686,605,119
687,1,piab frex ,8,0,piab frex  8 0,687,606,231
691,1,frex bepe ,4,0,frex bepe  4 0,691,607,31
692,1,LADE bepe ,5,0,LADE bepe  5 0,692,608,18
693,1,PIAB pisy ,8,0,PIAB pisy  8 0,693,609,27
694,1,PISY piab ,6,2,PISY piab  6 2,694,610,22
695,1,piab pisy fasy ,6,2,piab pisy fasy  6 2,695,611,20
696,1,piab lade pisy ,7,2,piab lade pisy  7 2,696,612,798
697,1,PIAB bepe ,7,0,PIAB bepe  7 0,697,613,32
699,1,pisy fasy ,8,0,pisy fasy  8 0,699,614,83
704,1,abal lade ,9,1,abal lade  9 1,704,615,41
705,1,LADE frex ,4,0,LADE frex  4 0,705,616,33
706,1,lade fasy bepe ,6,0,lade fasy bepe  6 0,706,617,15
707,1,piab abal ,6,2,piab abal  6 2,707,618,37
708,1,piab fasy bepe ,8,1,piab fasy bepe  8 1,708,619,69
709,1,frex bepe ,3,0,frex bepe  3 0,709,620,95
710,1,piab lade ,3,0,piab lade  3 0,710,621,130
711,1,piab bepe ,2,0,piab bepe  2 0,711,622,30
714,1,PIAB bepe ,7,1,PIAB bepe  7 1,714,623,47
716,1,piab alin ,6,0,piab alin  6 0,716,624,14
717,1,FASY frex ,4,0,FASY frex  4 0,717,625,38
718,1,fasy ,4,0,fasy  4 0,718,626,59
720,1,PIAB ,11,0,PIAB  11 0,720,627,102
722,1,FREX lade ,2,0,FREX lade  2 0,722,628,46
723,1,BEPE ,3,0,BEPE  3 0,723,629,226
724,1,piab fasy acps ,6,0,piab fasy acps  6 0,724,630,30
726,1,piab frex ,9,1,piab frex  9 1,726,631,893
727,1,piab lade ,1,0,piab lade  1 0,727,632,79
728,1,frex alin ,4,0,frex alin  4 0,728,633,34
729,1,lade frex ,8,1,lade frex  8 1,729,634,443
730,1,FASY piab ,1,0,FASY piab  1 0,730,635,16
732,1,piab bepe ,6,1,piab bepe  6 1,732,636,62
733,1,FREX ,7,1,FREX  7 1,733,637,231
735,1,PIAB frex ,5,0,PIAB frex  5 0,735,638,65
736,1,PIAB frex ,2,0,PIAB frex  2 0,736,639,77
738,1,fasy acps ,8,2,fasy acps  8 2,738,640,216
739,1,fasy alin ,8,0,fasy alin  8 0,739,641,10
741,1,lade frex ,6,1,lade frex  6 1,741,642,128
742,1,FASY abal ,7,1,FASY abal  7 1,742,643,220
743,1,piab frex ,2,0,piab frex  2 0,743,644,276
744,1,ACPS ,5,1,ACPS  5 1,744,645,69
745,1,FREX fasy ,2,0,FREX fasy  2 0,745,646,29
746,1,pisy ,8,1,pisy  8 1,746,647,458
749,1,FREX piab ,2,0,FREX piab  2 0,749,648,81
752,1,PIAB frex ,8,0,PIAB frex  8 0,752,649,75
753,1,piab bepe ,8,1,piab bepe  8 1,753,650,198
754,1,piab alin ,8,0,piab alin  8 0,754,651,1
755,1,piab ,9,0,piab  9 0,755,652,185
756,1,PISY piab ,7,2,PISY piab  7 2,756,653,93
758,1,piab lade pisy ,9,2,piab lade pisy  9 2,758,654,659
759,1,frex bepe ,7,0,frex bepe  7 0,759,655,20
760,1,piab lade pisy ,10,2,piab lade pisy  10 2,760,656,79
761,1,abal fasy ,5,1,abal fasy  5 1,761,657,34
762,1,ACPS ,6,0,ACPS  6 0,762,658,14
766,1,lade bepe ,6,1,lade bepe  6 1,766,659,42
767,1,PIAB lade ,10,2,PIAB lade  10 2,767,660,4117
768,1,PIAB abal ,6,1,PIAB abal  6 1,768,661,27
770,1,FREX piab ,7,0,FREX piab  7 0,770,662,63
771,1,LADE fasy ,9,1,LADE fasy  9 1,771,663,87
772,1,FREX bepe ,2,0,FREX bepe  2 0,772,664,50
773,1,mix,4,0,mix 4 0,773,665,37
777,1,LADE frex ,5,0,LADE frex  5 0,777,666,27
778,1,ALIN ,4,0,ALIN  4 0,778,667,4
779,1,lade frex ,9,1,lade frex  9 1,779,668,608
780,1,PIAB bepe ,9,0,PIAB bepe  9 0,780,669,19
782,1,PIAB ,3,0,PIAB  3 0,782,670,738
783,1,fasy bepe ,7,1,fasy bepe  7 1,783,671,69
784,1,lade fasy frex ,9,1,lade fasy frex  9 1,784,672,260
785,1,PIAB fasy ,5,0,PIAB fasy  5 0,785,673,45
786,1,LADE frex ,9,0,LADE frex  9 0,786,674,52
787,1,PIAB ,11,1,PIAB  11 1,787,675,17881
789,1,lade frex ,2,0,lade frex  2 0,789,676,121
791,1,piab fasy frex ,9,1,piab fasy frex  9 1,791,677,646
793,1,lade frex ,7,1,lade frex  7 1,793,678,287
794,1,LADE ,10,1,LADE  10 1,794,679,395
796,1,piab lade fasy acps ,8,1,piab lade fasy acps  8 1,796,680,31
798,1,frex alin ,2,0,frex alin  2 0,798,681,15
799,1,pisy ,6,0,pisy  6 0,799,682,40
800,1,FASY pisy ,8,1,FASY pisy  8 1,800,683,190
802,1,lade pisy ,8,2,lade pisy  8 2,802,684,272
804,1,lade fasy bepe ,6,1,lade fasy bepe  6 1,804,685,39
805,1,ALIN ,2,0,ALIN  2 0,805,686,23
806,1,FASY lade ,6,2,FASY lade  6 2,806,687,38
807,1,piab frex ,6,1,piab frex  6 1,807,688,369
808,1,FREX ,5,1,FREX  5 1,808,689,227
809,1,piab fasy frex ,10,1,piab fasy frex  10 1,809,690,165
811,1,fasy bepe ,8,0,fasy bepe  8 0,811,691,20
812,1,bepe ,7,0,bepe  7 0,812,692,23
813,1,FREX fasy ,4,0,FREX fasy  4 0,813,693,23
815,1,piab lade bepe ,4,0,piab lade bepe  4 0,815,694,17
818,1,abal lade ,8,0,abal lade  8 0,818,695,17
819,1,FASY piab ,3,0,FASY piab  3 0,819,696,23
820,1,FREX fasy ,6,0,FREX fasy  6 0,820,697,8
821,1,FREX lade ,5,0,FREX lade  5 0,821,698,11
822,1,piab lade ,2,0,piab lade  2 0,822,699,114
823,1,piab lade frex ,2,0,piab lade frex  2 0,823,700,67
827,1,PIAB fasy ,11,2,PIAB fasy  11 2,827,701,129163
828,1,PIAB frex ,7,1,PIAB frex  7 1,828,702,106
829,1,piab frex ,8,1,piab frex  8 1,829,703,674
830,1,PISY ,5,2,PISY  5 2,830,704,57
831,1,pisy fasy ,9,2,pisy fasy  9 2,831,705,3616
832,1,FASY pisy ,5,1,FASY pisy  5 1,832,706,19
833,1,lade bepe ,7,1,lade bepe  7 1,833,707,143
835,1,lade fasy frex ,8,0,lade fasy frex  8 0,835,708,105
836,1,LADE frex ,7,1,LADE frex  7 1,836,709,61
837,1,PIAB bepe ,8,1,PIAB bepe  8 1,837,710,65
838,1,PIAB frex ,10,1,PIAB frex  10 1,838,711,215
839,1,pisy fasy ,8,2,pisy fasy  8 2,839,712,4490
840,1,lade acps ,7,1,lade acps  7 1,840,713,42
842,1,frex bepe ,5,0,frex bepe  5 0,842,714,8
844,1,piab abal ,8,0,piab abal  8 0,844,715,26
846,1,piab pisy ,10,2,piab pisy  10 2,846,716,2495
848,1,FREX ,2,1,FREX  2 1,848,717,47
850,1,piab lade frex ,8,1,piab lade frex  8 1,850,718,124
852,1,piab lade frex ,7,0,piab lade frex  7 0,852,719,39
853,1,LADE bepe ,7,1,LADE bepe  7 1,853,720,34
856,1,PIAB lade ,9,0,PIAB lade  9 0,856,721,63
857,1,piab bepe ,9,0,piab bepe  9 0,857,722,123
858,1,abal lade ,8,1,abal lade  8 1,858,723,86
859,1,FASY acps ,8,0,FASY acps  8 0,859,724,18
860,1,LADE frex ,6,0,LADE frex  6 0,860,725,29
861,1,PIAB frex ,7,0,PIAB frex  7 0,861,726,69
862,1,FASY frex ,5,1,FASY frex  5 1,862,727,16
863,1,LADE frex ,9,1,LADE frex  9 1,863,728,56
864,1,piab fasy ,2,0,piab fasy  2 0,864,729,72
865,1,piab fasy frex ,2,0,piab fasy frex  2 0,865,730,24
866,1,FASY bepe ,8,1,FASY bepe  8 1,866,731,26
869,1,frex ,7,0,frex  7 0,869,732,34
872,1,piab frex ,3,0,piab frex  3 0,872,733,432
873,1,pisy fasy ,6,2,pisy fasy  6 2,873,734,74
874,1,abal lade fasy ,7,2,abal lade fasy  7 2,874,735,170
875,1,abal lade fasy ,9,2,abal lade fasy  9 2,875,736,137
878,1,PIAB fasy ,10,0,PIAB fasy  10 0,878,737,116
879,1,PIAB frex ,9,0,PIAB frex  9 0,879,738,74
881,1,fasy ,4,1,fasy  4 1,881,739,46
883,1,lade fasy bepe ,7,1,lade fasy bepe  7 1,883,740,24
885,1,PIAB bepe ,6,0,PIAB bepe  6 0,885,741,17
886,1,lade bepe ,2,0,lade bepe  2 0,886,742,21
887,1,piab fasy frex ,8,0,piab fasy frex  8 0,887,743,142
888,1,piab acps ,8,2,piab acps  8 2,888,744,62
889,1,fasy bepe ,9,1,fasy bepe  9 1,889,745,38
891,1,abal fasy ,8,0,abal fasy  8 0,891,746,156
892,1,lade fasy frex ,6,1,lade fasy frex  6 1,892,747,21
893,1,FASY bepe ,7,1,FASY bepe  7 1,893,748,23
894,1,piab frex ,10,1,piab frex  10 1,894,749,791
895,1,mix,2,0,mix 2 0,895,750,27
896,1,frex alin ,5,0,frex alin  5 0,896,751,8
898,1,PIAB fasy ,11,1,PIAB fasy  11 1,898,752,1732
899,1,piab fasy frex ,9,0,piab fasy frex  9 0,899,753,123
900,1,frex ,7,1,frex  7 1,900,754,103
901,1,frex ,5,0,frex  5 0,901,755,29
903,1,piab fasy frex ,4,0,piab fasy frex  4 0,903,756,57
904,1,PIAB abal ,8,2,PIAB abal  8 2,904,757,327
905,1,FREX piab ,8,0,FREX piab  8 0,905,758,45
906,1,pisy ,6,2,pisy  6 2,906,759,25
908,1,lade bepe ,8,1,lade bepe  8 1,908,760,261
910,1,fasy acps frex ,9,1,fasy acps frex  9 1,910,761,38
911,1,lade pisy fasy ,9,1,lade pisy fasy  9 1,911,762,35
912,1,PISY fasy ,9,1,PISY fasy  9 1,912,763,36
917,1,piab lade frex ,8,0,piab lade frex  8 0,917,764,48
918,1,FREX ,3,0,FREX  3 0,918,765,1198
920,1,piab abal lade ,8,2,piab abal lade  8 2,920,766,141
921,1,FASY abal ,8,0,FASY abal  8 0,921,767,47
922,1,piab fasy ,4,0,piab fasy  4 0,922,768,209
924,1,piab fasy ,11,2,piab fasy  11 2,924,769,351868
927,1,piab lade fasy ,11,1,piab lade fasy  11 1,927,770,68
928,1,lade fasy ,2,0,lade fasy  2 0,928,771,32
929,1,frex ,8,1,frex  8 1,929,772,106
931,1,LADE piab ,9,0,LADE piab  9 0,931,773,75
933,1,piab pisy fasy ,6,0,piab pisy fasy  6 0,933,774,33
934,1,acps ,7,1,acps  7 1,934,775,31
935,1,PISY piab ,8,1,PISY piab  8 1,935,776,212
938,1,frex bepe ,8,1,frex bepe  8 1,938,777,20
939,1,PIAB acps ,7,1,PIAB acps  7 1,939,778,29
940,1,ACPS ,7,0,ACPS  7 0,940,779,13
943,1,LADE frex ,8,1,LADE frex  8 1,943,780,62
944,1,FREX fasy ,5,1,FREX fasy  5 1,944,781,33
947,1,piab lade bepe ,7,1,piab lade bepe  7 1,947,782,27
949,1,piab lade frex ,9,0,piab lade frex  9 0,949,783,38
950,1,lade frex ,3,0,lade frex  3 0,950,784,114
952,1,piab lade frex ,3,0,piab lade frex  3 0,952,785,52
955,1,LADE ,6,2,LADE  6 2,955,786,34
956,1,LADE piab ,7,2,LADE piab  7 2,956,787,53
957,1,abal fasy ,9,0,abal fasy  9 0,957,788,83
958,1,piab ,2,0,piab  2 0,958,789,103
959,1,FREX lade ,3,0,FREX lade  3 0,959,790,49
961,1,FREX fasy ,6,1,FREX fasy  6 1,961,791,35
962,1,FREX piab ,3,0,FREX piab  3 0,962,792,193
965,1,piab abal lade fasy ,10,1,piab abal lade fasy  10 1,965,793,23
967,1,FASY piab ,4,1,FASY piab  4 1,967,794,1736
968,1,ACPS ,6,2,ACPS  6 2,968,795,66
969,1,FREX ,3,1,FREX  3 1,969,796,265
971,1,piab acps ,8,0,piab acps  8 0,971,797,15
973,1,BEPE frex ,3,0,BEPE frex  3 0,973,798,24
975,1,piab bepe ,10,0,piab bepe  10 0,975,799,56
976,1,piab frex ,10,0,piab frex  10 0,976,800,133
977,1,PIAB fasy ,5,2,PIAB fasy  5 2,977,801,200
978,1,bepe ,8,0,bepe  8 0,978,802,23
980,1,FASY abal ,6,2,FASY abal  6 2,980,803,150
982,1,FREX fasy ,3,0,FREX fasy  3 0,982,804,30
983,1,abal fasy bepe ,8,0,abal fasy bepe  8 0,983,805,6
984,1,piab bepe ,9,1,piab bepe  9 1,984,806,237
986,1,lade fasy bepe ,8,0,lade fasy bepe  8 0,986,807,14
987,1,BEPE piab ,7,0,BEPE piab  7 0,987,808,4
988,1,mix,6,0,mix 6 0,988,809,23
990,1,FASY bepe ,10,1,FASY bepe  10 1,990,810,26
995,1,PIAB frex ,10,0,PIAB frex  10 0,995,811,45
998,1,PIAB abal ,8,1,PIAB abal  8 1,998,812,141
999,1,abal ,8,2,abal  8 2,999,813,42
1001,1,abal fasy acps ,10,1,abal fasy acps  10 1,1001,814,48
1002,1,PISY piab ,5,1,PISY piab  5 1,1002,815,25
1003,1,FREX piab ,8,1,FREX piab  8 1,1003,816,93
1006,1,FASY acps ,8,2,FASY acps  8 2,1006,817,84
1007,1,pisy ,8,0,pisy  8 0,1007,818,49
1008,1,piab fasy bepe ,9,1,piab fasy bepe  9 1,1008,819,58
1011,1,mix,5,0,mix 5 0,1011,820,31
1012,1,lade bepe ,9,1,lade bepe  9 1,1012,821,136
1013,1,FREX piab ,7,1,FREX piab  7 1,1013,822,42
1014,1,FREX bepe ,3,0,FREX bepe  3 0,1014,823,41
1020,1,FREX lade ,5,1,FREX lade  5 1,1020,824,41
1022,1,PIAB frex ,9,1,PIAB frex  9 1,1022,825,215
1023,1,FREX ,8,1,FREX  8 1,1023,826,201
1026,1,frex bepe ,8,0,frex bepe  8 0,1026,827,14
1027,1,fasy frex ,9,0,fasy frex  9 0,1027,828,103
1031,1,piab fasy frex ,8,2,piab fasy frex  8 2,1031,829,270
1032,1,lade ,11,1,lade  11 1,1032,830,40
1034,1,PIAB pisy ,8,2,PIAB pisy  8 2,1034,831,254
1035,1,PISY lade ,6,1,PISY lade  6 1,1035,832,40
1037,1,piab lade bepe ,8,0,piab lade bepe  8 0,1037,833,16
1039,1,acps frex ,6,1,acps frex  6 1,1039,834,10
1040,1,piab lade frex ,9,1,piab lade frex  9 1,1040,835,264
1043,1,FREX lade ,6,1,FREX lade  6 1,1043,836,45
1044,1,piab lade fasy frex ,9,1,piab lade fasy frex  9 1,1044,837,42
1048,1,piab fasy frex ,10,0,piab fasy frex  10 0,1048,838,22
1050,1,PIAB frex ,10,2,PIAB frex  10 2,1050,839,250
1052,1,FREX piab ,4,0,FREX piab  4 0,1052,840,125
1056,1,abal lade fasy ,10,1,abal lade fasy  10 1,1056,841,57
1057,1,piab frex bepe ,9,1,piab frex bepe  9 1,1057,842,35
1059,1,piab lade bepe ,8,1,piab lade bepe  8 1,1059,843,75
1061,1,lade fasy bepe ,8,1,lade fasy bepe  8 1,1061,844,63
1064,1,piab bepe ,3,0,piab bepe  3 0,1064,845,74
1067,1,fasy ,11,1,fasy  11 1,1067,846,50
1069,1,PIAB frex ,7,2,PIAB frex  7 2,1069,847,64
1070,1,abal ,9,2,abal  9 2,1070,848,80
1075,1,PIAB pisy ,9,1,PIAB pisy  9 1,1075,849,210
1077,1,frex ,3,0,frex  3 0,1077,850,152
1079,1,FASY acps ,7,2,FASY acps  7 2,1079,851,102
1084,1,piab lade frex ,4,0,piab lade frex  4 0,1084,852,35
1088,1,frex alin ,1,0,frex alin  1 0,1088,853,6
1089,1,FREX lade ,4,0,FREX lade  4 0,1089,854,30
1090,1,piab frex ,7,2,piab frex  7 2,1090,855,228
1092,1,fasy bepe ,8,1,fasy bepe  8 1,1092,856,80
1093,1,piab lade frex ,10,1,piab lade frex  10 1,1093,857,178
1094,1,LADE frex ,8,0,LADE frex  8 0,1094,858,20
1095,1,PIAB frex ,11,1,PIAB frex  11 1,1095,859,115
1099,1,piab abal lade fasy ,10,2,piab abal lade fasy  10 2,1099,860,52
1100,1,PIAB frex ,3,0,PIAB frex  3 0,1100,861,91
1108,1,LADE frex ,1,0,LADE frex  1 0,1108,862,25
1112,1,piab frex ,8,2,piab frex  8 2,1112,863,296
1114,1,piab lade pisy fasy ,8,1,piab lade pisy fasy  8 1,1114,864,70
1116,1,fasy acps ,9,2,fasy acps  9 2,1116,865,138
1118,1,piab pisy ,9,0,piab pisy  9 0,1118,866,23
1119,1,lade bepe ,9,0,lade bepe  9 0,1119,867,25
1120,1,piab lade bepe ,9,1,piab lade bepe  9 1,1120,868,70
1121,1,piab pisy ,9,2,piab pisy  9 2,1121,869,6709
1122,1,frex bepe ,9,1,frex bepe  9 1,1122,870,14
1125,1,FASY abal ,8,2,FASY abal  8 2,1125,871,2159
1127,1,piab abal fasy ,9,0,piab abal fasy  9 0,1127,872,20
1130,1,piab frex ,11,0,piab frex  11 0,1130,873,23
1133,1,piab fasy acps ,10,1,piab fasy acps  10 1,1133,874,20
1136,1,FREX lade ,4,1,FREX lade  4 1,1136,875,24
1138,1,lade frex bepe ,1,0,lade frex bepe  1 0,1138,876,19
1140,1,piab fasy frex ,9,2,piab fasy frex  9 2,1140,877,422
1142,1,ABAL fasy ,7,1,ABAL fasy  7 1,1142,878,40
1144,1,lade frex ,10,1,lade frex  10 1,1144,879,165
1146,1,PISY ,8,1,PISY  8 1,1146,880,740
1147,1,piab abal ,10,1,piab abal  10 1,1147,881,48
1151,1,FASY frex ,10,1,FASY frex  10 1,1151,882,13
1155,1,piab ,10,0,piab  10 0,1155,883,49
1156,1,frex ,2,0,frex  2 0,1156,884,58
1159,1,FASY piab ,9,0,FASY piab  9 0,1159,885,101
1160,1,frex ,9,1,frex  9 1,1160,886,57
